index,name,Producer,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Alcohol Content,instance,vivino_wine,id,winery,region,style,varietal_name,regional_name,body,acidity,style_description,ratings_count,ratings_average,vintage_description,ranking_region,ranking_global,added_sulfites,biodynamic,wine_description,country_name,type_id,type
0,"Stefan Bauer Zweigelt, Wagram, Austria",Stefan Bauer,Wagram,Zweigelt,Pork,Savory and Classic,null,"Wine: Zweigelt 2016 Bauer, Source: name-search",Stefan Bauer Zweigelt,4470482,Stefan Bauer,Wagram,Austrian Zweigelt,Zweigelt,Austrian,4,3,"The fruit-forward and spicy Zweigelt, with flavors of sour cherry, raspberry, cinnamon, violets and pepper, has soft tannins and is the most widely planted red grape in Austria. It can taste similar to a spicy Beaujolais, a racy Pinot Noir or an inky California Zinfandel. 

In 1922, Zweigelt was created by researcher Frank Zweigelt, by crossing an Austrian grape called Blaufränkish, which gives the wine its acidity, with St. Laurent, which imparts bright cherry flavors and a smooth texture.

Zweigelt is planted throughout Austria, with the most expressive wines coming from the Neusiedlersee DAC of Burgenland, in the easternmost part of country.

While most Zweigelt styles are dry, the grape is also used to make sweeter styles such as strohwein and ice wine.",26,3.5,,0.2703445360388924,0.2808779110412359,,,,Austria,1,Red
1,Sforzato di Valtellina 2013 Alfio Mozzi,Azienda Agricola Alfio Mozzi,Sforzato di Valtellina,Nebbiolo,Beef and Venison,Rich and Intense,,"Wine: Sforzato di Valtellina 2013 Alfio Mozzi, Source: name-search",Plozza Sforzato di Valtellina,2668986,Plozza,Sforzato della Valtellina,Italian Nebbiolo,Nebbiolo,Italian,5,3,,144,3.6,,0.129293893129771,0.12289031877987791,,,,Italy,1,Red
2,Cabernet Sauvignon 2017 Oracle Cellars,,Mendocino,Cabernet Sauvignon,Beef and Venison,Bold and Structured,,"Wine: Cabernet Sauvignon 2017 Oracle Cellars, Source: name-search",Oracle Cellars Cabernet Sauvignon,159473094,Oracle Cellars,Mendocino,Californian Cabernet Sauvignon,Cabernet Sauvignon,Californian,4,3,"Known as the king of red wine grapes, Cabernet Sauvignon enjoys the same regal status in California as does in its native home in Bordeaux.

The most widely planted red wine grape in California, Cabernet Sauvignon commands the highest price per ton and is the dominant grape found in some of California's most prestigious brands.

Some of the most expensive wines in the United States are made from this noble grape. Cult wines like Screaming Eagle and Harlan Estate sell for thousands per bottle, but don't let that scare you—great non-cult Cabs can be found for much less, starting at around $20. Top growing regions include Napa Valley and Sonoma County.

Cabernet Sauvignon is dry and full-bodied, and is prized for its long aging potential. It's also known for displaying characteristic green flavors like bell pepper, eucalyptus and mint. Cabernet grown in California tends to be more fruit-forward and more mellow, with rich dark fruit notes of blueberry and blackberry as well as earth, dust, mocha and cedar.

The moderate to high tannin levels and concentrated flavors in Californian Cab make it a sensational food wine. It's superb with porterhouse steak, braised pork belly, hearty lamb stews, portobello mushrooms and grilled burgers.",75,4.0,,0.030405405405405407,0.05232591241368721,,,,United States,1,Red
3,"Koehler-Ruprecht Spatburgunder Kabinett Trocken, Pfalz, Germany",Weingut Koehler-Ruprecht,Pfalz,Pinot Noir,Meaty and Oily Fish,Light and Perfumed,null,"Wine: Spatburgunder Kabinett 2017 Koehler-Ruprecht, Source: name-search",Koehler-Ruprecht Spätburgunder Kabinett Trocken,4747451,Koehler-Ruprecht,Pfalz,German Spätburgunder,Spätburgunder,German,4,3,,191,3.8,,0.02907664989641906,0.06667462886349244,,,,Germany,1,Red
4,2017 spatburgunder kabinett koehler ruprecht,Weingut Koehler-Ruprecht,Pfalz,Pinot Noir,Meaty and Oily Fish,Light and Perfumed,,"Wine: 2017 spatburgunder kabinett koehler ruprecht, Source: name-search",Koehler-Ruprecht Spätburgunder Kabinett Trocken,4747451,Koehler-Ruprecht,Pfalz,German Spätburgunder,Spätburgunder,German,4,3,,191,3.8,,0.02907664989641906,0.06667462886349244,,,,Germany,1,Red
5,Pinot Gris 2018 Friedrich Becker,Weingut Friedrich Becker,Pfalz,Pinot Gris,Root Vegetables and Squashes,Tropical and Balanced,12.5%,"Wine: Pinot Gris 2018 Friedrich Becker, Source: name-search",Friedrich Becker Pinot Gris,146966480,Friedrich Becker,Pfalz,German Grauburgunder,Grauburgunder,German,3,3,,61,3.8,,0.0693139420587023,0.12898082234264663,,,,Germany,2,White
6,Sauvignon Blanc 2019 Tablelands,TL Wine Co,New Zealand,Sauvignon Blanc,Goats' Cheese and Feta,Green and Flinty,12.5 - 14%,"Wine: Sauvignon Blanc 2019 Tablelands, Source: name-search",Tablelands Sauvignon Blanc,4885760,Tablelands,Martinborough,New Zealand Sauvignon Blanc,Sauvignon Blanc,New Zealand,2,3,"Sauvignon Blanc is the flagship varietal of New Zealand, and is typically a very crisp aromatic wine with notes of grapefruit, tropical fruit and cut grass.

The much-lauded white wines of New Zealand tend to be slightly sweeter than those from Bordeaux and the Loire Valley, and are hugely influenced by the growing conditions of the country.

The grape originates from Bordeaux, where it is also known as Pouilly-Fumé, Sancerre, and Graves, and is one of the world's most widely planted grapes.

Marlborough is the most revered wine-producing region in the small country, accounting for 62% of all wine produced in New Zealand.

The New Zealand Sauvignon Blanc scene started popping in 1970s, with the high quality Sauvignon Blancs coming out of Marlborough illustrating the great potential for grape growing in New Zealand.

Sauvignon Blanc tends to be fermented in stainless steel vats, which results in a clean, crisp flavor, and will not show any of that butteriness that is often prevalent in well-oaked Chardonnay for instance.

When it comes to pairing, think white meat, shellfish, and try to accentuate the herbaceous qualities of the wine with ingredients like parsley and cilantro.",380,3.8,,0.05359290438965725,0.0639600245670284,,,"The combination of the rich yet zingy Martinborough fruit and more refined Hawkes Bay fruit leads to a wine that has amazing drinkability with the richness of stone fruit, highlights of peach and lime and underlying minerality.",New Zealand,2,White
7,"Proprieta Sperino Uvaggio Coste della Sesia Rosso, Piedmont, Italy",Proprieta Sperino,Coste della Sesia,Nebbiolo,Lamb,Savory and Classic,12.5 - 13.5%,"Wine: Costa delle Sesia Uvaggio 2015 Sperino, Source: name-search",Proprieta Sperino Uvaggio,3865928,Proprieta Sperino,Coste della Sesia,Northern Italy Red,Red,Northern Italy,4,3,"The wines of Northern Italy include some of the most well known red wines in the country including Nebbiolo, Barbera, Dolcetto, Amarone and Valpolicella.

Arguably, the two most important regions in Northern Italy are Piedmont in the northwest, and Veneto in the northeast. Red wines from these regions range from some of the most expensive and sought after in all of Italy to great value red wines.

Nebbiolo produces some of the most exclusive and expensive red wines in Italy, including Barolo and Barbaresco. However, these sought after wines come with a hefty price tag.

Dolcetto and Barbera from Piedmont offer relative value. Dolcetto is planted on less desirable vineyard sites, and produces fruit-forward, great value wines that are meant to be consumed within 1-2 years of bottling. Barbera is a high yield variety with low tannins and high acidity.

In Veneto, Valpolicella reigns supreme as its own distinct viticultural zone. There are five different tiers within this wine category ranging from inexpensive and light-bodied Valpolicella Classico, to pricey Amarone.

Red wines from Valpolicella are typically based on Corvina, with Rondinella, and Molinara rounding out these blended wines.",2228,4.1,,0.021279301428510873,0.015116629350248873,,,"Vibrant ruby red, this youthful wine has perfumes full of rich cherry and plum fruit. The lifted palate is packed with attractive juicy fruit and is given great texture by the supple, approachable tannins. The finish is long and inviting.",Italy,1,Red
9,Collio Ribolla Gialla Oslavia 2018 Fiegl,Fiegl Vini,Friuli-Venezia Giulia,Ribolla,White Fish,Green and Flinty,12 - 12.5%,"Wine: Collio Ribolla Gialla Oslavia 2018 Fiegl, Source: name-search",Fiegl Ribolla Gialla Oslavia,141888874,Fiegl,Collio,Northern Italy White,White,Northern Italy,3,3,"Often better known for red varieties, Northern Italy has a number of delicious and drinkable white wines. To know Northern Italian wines is to know the influences of the wines of the countries that border Italy.

Old World wines tend to be far less about fruit-forward  flavors, and more about the effect that the climate, soil, and adjacently growing flora (terroir) have on the grapes during their growth.

The most widely recognizable varietal is Pinot Grigio which is very rustic, medium-bodied, with medium to high acidity. Chardonnay seems to grow anywhere grapes can grow although Italian varieties are not normally coveted quality.

Gewürztraminer usually makes us think of Germany, but it's also thriving in Northern Italy. The warmer climate imparts a little less sugar and little more acidity than its German cousin.

Then there is Moscato. From the northwest Piedmont region, this wine is sweet and very popular in North America, and comes in both still and sparkling varieties.

Whatever your choice, taking a tour of Italian white wines is an enjoyable experience that you will be thankful you took.",110,3.6,,0.10636062128525925,0.1244451268374893,,,"Golden yellow colour. Floral jasmine, acacia flowers fruity candied citrus, pineapple, chamomile, hay, propolisnose. Dry, mineral, fresh and balanced taste.",Italy,2,White
10,Beaujolais-Villages Le Bouteau 2016 Granger,Cave Pascal Granger,Beaujolais Villages,Gamay,"Duck, Goose and Game Birds",Savory and Classic,13%,"Wine: Beaujolais-Villages Le Bouteau 2016 Granger, Source: name-search",Pascal Granger Le Bouteau Beaujolais Villages,4870227,Pascal Granger,Beaujolais-Villages,Beaujolais Red,Red,Beaujolais,3,3,"Beaujolais is the most southern wine growing region in Burgundy, though it is substantially different from rest of Burgundy, both in climate and in the wine it produces, it is often thought of as its own appellation.

Beaujolais produces light, dry red wines made from Gamay. Perhaps what the region is best known for is Beaujolais Nouveau, a fresh and fruity red wine made for immediate consumption.

Beaujolais is described as a refreshing red with low tannins and bright acidity. Juicy strawberry and raspberry fruit aromas are the hallmark of these wines. The more serious Beaujolais Crus sport mineral and earthy notes, as well as tart cranberry and violet overtones.

Some 35 million bottles of Beaujolais Nouveau are packed and shipped worldwide, within two months of harvest, hitting US shores around Thanksgiving! Roughly one-third of Beaujolais' production is dedicated to producing wines in the quaffable Nouveau style.

The remaining production is typically labeled as Beaujolais-Villages and there are 10 distinctive Crus, which are from distinct vineyard sites. Beaujolais Crus, unlike Nouveau wines, are darker in color, richer and fuller in body and can withstand some aging.

Nouveau is a classic wine at the Thanksgiving table—it loves roasted turkey and cranberry sauce, and it will also pair amiably with smoked salmon or trout, pork chops, quiche and charcuterie.",43,3.6,,0.1382716049382716,0.22446697471942412,,,,France,1,Red
