,name,link,price,description,date_collected,image_link,in_stock,details
0,Brut NV 187ml François Montand,https://www.kingscountywines.com/brut-nv-187ml-francois-montand.html,5.99,What a fun little cutie.,2020-02-10 22:52:04.560962,https://cdn.shoplightspeed.com/shops/603808/files/15948900/brut-nv-187ml-francois-montand.jpg,In stock,null
1,"Côte-Rôtie ""Les Rochains"" 2015 Patrick et Bonnefond",https://www.kingscountywines.com/cote-rotie-les-rochains-2016-patrick-et-bonnefond.html,71.99,"Determined syrah, shows generous fruit. Sees some new oak (20%). Outstanding.",2020-02-10 22:52:04.754384,https://cdn.shoplightspeed.com/shops/603808/files/16076679/cote-rotie-les-rochains-2015-patrick-et-bonnefond.jpg,In stock,null
2,Cheverny Blanc 2018 L'Epicourchois,https://www.kingscountywines.com/cheverny-blanc-2018-lepicourchois.html,19.99,"Sauvignon blanc/menu pineau. Brisk salinity, nose of stockflower.",2020-02-10 22:52:04.941995,https://cdn.shoplightspeed.com/shops/603808/files/15887533/cheverny-blanc-2018-lepicourchois.jpg,In stock,null
3,Montepulciano d'Abruzzo 2018 Cirelli,https://www.kingscountywines.com/montepulciano-dabruzzo-2018-cirelli.html,18.99,"Soft, round, fragrant. Cherry and pine. Good w/ everything.",2020-02-10 22:52:05.138065,https://cdn.shoplightspeed.com/shops/603808/files/15887416/montepulciano-dabruzzo-2018-cirelli.jpg,In stock,null
4,"Cabernet Sauvignon ""Reserva"" 2018 Laurent",https://www.kingscountywines.com/cabernet-sauvignon-corrupto-2018-laurent.html,11.99,"Former Bordeaux winemaker, now in Chile. Awesome, natural.",2020-02-10 22:52:05.320897,https://cdn.shoplightspeed.com/shops/603808/files/15879056/cabernet-sauvignon-reserva-2018-laurent.jpg,In stock,null
5,Côtes de Beaune Rouge 375ml 2017 Billard,https://www.kingscountywines.com/hautes-cotes-de-beaune-rouge-375ml-2017-billard.html,14.99,"Indigenous yeasts, organic farming. Burgundy in a pinch.",2020-02-10 22:52:05.519144,https://cdn.shoplightspeed.com/shops/603808/files/15862196/hautes-cotes-de-beaune-rouge-375ml-2017-billard-pe.jpg,In stock,null
6,Pencopolitano 2017 Pedro Parra*,https://www.kingscountywines.com/pencopolitano-2017-pedro-parra.html,21.99,Pacific-coastal blend of Cinsault and Paìs. Chile's answer to Beaujolais.  Delicious!,2020-02-10 22:52:05.734527,https://cdn.shoplightspeed.com/shops/603808/files/15887608/pencopolitano-2017-pedro-parra-y-familia.jpg,In stock,null
7,Bouzeron Aligoté 2017 Julien Cruchandeau,https://www.kingscountywines.com/bouzeron-aligote-2017-julien-cruchandeau.html,23.99,"Gorgeous, saline aligoté, finishes long & delicate. Having salmon?",2020-02-10 22:52:05.943902,https://cdn.shoplightspeed.com/shops/603808/files/15878986/bouzeron-aligote-2017-julien-cruchandeau.jpg,In stock,null
8,Bordeaux Côtes de Bourg 2014 Falfas,https://www.kingscountywines.com/boprdeaux-cotes-de-bourg-2014-falfas.html,29.99,"Mostly cabernet sauvignon. Finely textured tannins, ample fruit.",2020-02-10 22:52:06.170319,https://cdn.shoplightspeed.com/shops/603808/files/16173359/bordeaux-cotes-de-bourg-2014-falfas.jpg,In stock,null
9,"Pinot Noir ""Manifest Destiny"" 2013 Retour Wines",https://www.kingscountywines.com/pinot-noir-manifest-destiny-retour-wines.html,48.99,"Lean, long, elegant, savory, cultish pinot. Eidos of Willamette.",2020-02-10 22:52:06.361839,https://cdn.shoplightspeed.com/shops/603808/files/15878363/pinot-noir-manifest-destiny-2013-retour-wines.jpg,In stock,null
10,Verdejo 2018 Vega de Tera,https://www.kingscountywines.com/tempranillo-2018-vega-de-tera.html,13.99,"Tangy, saline, brisk. Freshen up, drink with fish, or friends.",2020-02-10 22:52:06.572393,https://cdn.shoplightspeed.com/shops/603808/files/16289543/verdejo-2018-vega-de-tera.jpg,In stock,null
11,Irouleguy Blanc 2018 Herri Mina,https://www.kingscountywines.com/irouleguy-blanc-2017-herri-mina.html,32.99,"Basque classic. Saline, mineral, subtle, and very oystery.",2020-02-10 22:52:06.774524,https://cdn.shoplightspeed.com/shops/603808/files/17199750/irouleguy-blanc-2018-herri-mina.jpg,In stock,null
12,Sauvignon Blanc 2016 Pied à Terre,https://www.kingscountywines.com/sauvignon-blanc-2016-pied-a-terre.html,23.99,"From Sonoma, smells of muddled mint and tomato leaf.",2020-02-10 22:52:07.020676,https://cdn.shoplightspeed.com/shops/603808/files/15878385/sauvignon-blanc-2016-pied-a-terre.jpg,In stock,null
