,name,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Notes
0,"Sangria ""Limonada"" NV Palacio de Canedo",Castilla y Leon,Mencia,Lamb,Red - Rich and Intense,null
1,Rosso NV Paolo Palumbo,Penisola Sorrentina Lettere,Aglianico - Piedirosso,Beef and Venison,Red - Bold and Structured,"Indicative blend: Piedirosso, Aglianico and Sciascinoso"
2,Anjou Blanc 2018 Domaine de Clayou,Anjou,Chenin Blanc,null,null,null
3,"Pinot Noir ""Golden"" 2017 Folktale",Monterey County,Pinot Noir,Chicken and Turkey,Red - Light and Perfumed,null
4,Shiraz HP Hydraulic Press 2016 David Franz,Barossa,Shiraz,Beef and Venison,Red - Rich and Intense,null
5,"Chenin Blanc ""First Light"" 2018 Remhoogte",Stellenbosch,Chenin Blanc,Cheddar and Gruyere,White - Buttery and Complex,null
6,Le Pinot Noir 2017 Saint Verny Vignobles,IGP Puy-de-Dome,Pinot Noir,Chicken and Turkey,Red - Light and Perfumed,null
7,Riesling Watervale 2018 Koerner,Clare Valley,Riesling,White Fish,White - Green and Flinty,null
8,Champagne Silver Brut Nature NV Andre Clouet,Champagne Brut Nature - Zero,Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,null
9,Riesling Fass 2 Extra Trocken 2018 Lauer,Saar,Riesling,White Fish,White - Green and Flinty,null
10,Tinto 2017 La Posta,Mendoza,Bonarda  -  Malbec,Beef and Venison,Red - Rich and Intense,"Indicative blend:Malbec, Bonarda and Syrah."
11,Primo Segno 2015 Villa Venti,Romagna,Sangiovese,null,null,null
12,Barolo 2015 Fletcher,Barolo,Nebbiolo,Lamb,Red - Savory and Classic,null
13,Fiano Trentenare 2018 San Salvatore,Paestum IGT,Fiano,White Fish,White - Tropical and Balanced,null
14,Riesling Trocken 2018 Peter Jakob Kuhn,Rheingau,Riesling,White Fish,White - Green and Flinty,null
15,Syrah 2016 Kunin,Santa Barbara County,Syrah,Lamb,Red - Rich and Intense,null
16,Reserve Chardonnay 2015 Lemelson,Willamette Valley,Chardonnay,Mushrooms,White - Buttery and Complex,null
17,"Minervois Blanc ""Champ du Roy"" 2018 Coupe-Roses",IGP Pays d'Herault Cotes du Brian,Rare White Blend,Chicken and Turkey,White - Tropical and Balanced,null
18,Pais Viejo 2018 J. Bouchon,Maule Valley,Pais (Mission),Beef and Venison,Red - Bold and Structured,null
19,Pinotage 2017 Lammershoek,Swartland,Pinotage,Beef and Venison,Red - Rich and Intense,null
20,Barbaresco Serraboella 2015 Paitin,Barbaresco,Nebbiolo,Lamb,Red - Savory and Classic,null
21,Vermentino 2019 Wits End,McLaren Vale,Vermentino (Rolle),Cheddar and Gruyere,White - Tropical and Balanced,null
22,Pinot Noir 2017 Illahe Vineyards,Willamette Valley,Pinot Noir,Chicken and Turkey,Red - Light and Perfumed,null
23,Tai Rosso 2018 Rezzadore,Colli Berici,Grenache (Garnacha),Beef and Venison,Red - Rich and Intense,null
24,Grenache Hook 2017 Santa Cruz Mountain Vineyards,Santa Lucia Highlands,Grenache (Garnacha),Lamb,Red - Rich and Intense,null
25,Pagliaro Sagrantino Secco di Montefalco 2012 Paolo Bea,Montefalco Sagrantino,Sagrantino,Beef and Venison,Red - Bold and Structured,null
26,Elbling Sekt NV Hild,Mosel,Elbling,Meaty and Oily Fish,Sparkling - Fresh and Youthful,null
27,Kosher Sauvignon Blanc 2019 Terra Vega,Central Valley - Chile,Sauvignon Blanc,Salads and Green Vegetables,White - Green and Flinty,Kosher
28,Cabernet Sauvignon 2017 The Fableist,Paso Robles,Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,Formerly this wine was labeled as Cane and Fable 373. Indicative blend: Cabernet Sauvignon with a small amount of Tempranillo and Petit Verdot.
29,Kosher Grüner Veltliner 2016 Queen Esther,Austria,Gruner Veltliner,White Fish,White - Green and Flinty,null
30,Monastrell 2015 Castillo de Jumilla,Jumilla,Mourvedre (Monastrell),Lamb,Red - Rich and Intense,null
31,Barolo Brea 2013 Brovia,Barolo,Nebbiolo,Lamb,Red - Savory and Classic,Formerly known as Brovia Ca' Mia.
32,Barbera d'Asti Ruleja 2009 Montegrosso,Barbera d'Asti,Barbera,"Duck, Goose and Game Birds",Red - Savory and Classic,null
